Name,Latitude,Longitude,Rating,Address,City
Puppy Store,33.7758987,-117.870425,3.5,"2800 N Main St #632, Santa Ana",Santa Ana
Dirty Dogs Carlsbad,33.127856,-117.26821000000001,4.6,"#105, 2521 Palomar Airport Rd, Carlsbad",Carlsbad
Kriser's Natural Pet,33.554533,-117.713247,4.3,"23894 Aliso Creek Rd, Laguna Niguel",Laguna Niguel
Ramirez Pet Shop,33.9603049,-118.2419307,3.4,"1741 Firestone Blvd, Los Angeles",Los Angeles
34 Pet Shop,33.9888532,-118.332323,4.1,"3434 W Slauson Ave, Los Angeles",Los Angeles
Birdman Pet Shop,34.0885909,-118.21466869999999,3.9,"3520 N Figueroa St, Los Angeles",Los Angeles
Pet Supplies Plus,29.881918699999996,-95.6848432,4.8,"7041 Barker Cypress Rd, Cypress",Cypress
Pet Supermarket,29.990903000000003,-95.737716,4.4,"15050 Fairfield Village Dr, Cypress",Cypress
Pet Supermarket,30.0058071,-95.6363186,4.6,"14044 Grant Rd #200, Cypress",Cypress
PetSmart,29.660496999999996,-95.7107271,4.3,"10181 West Grand Parkway South, Richmond",Richmond
Happy Pets Vets,29.88044859999999,-95.6886322,2.4,"1142, 18310 Farm to Market Rd 529, Cypress",Cypress
Carlsbad Pet and Feed,33.1020745,-117.3118094,4.5,"7040 Avenida Encinas Ste 108B, Carlsbad",Carlsbad
The Pet Stop,34.10734179999999,-117.60611770000001,3.9,"9124 E Foothill Blvd, Rancho Cucamonga",Rancho Cucamonga
Andy's Pet Grooming & Supplies,34.142812,-118.249771,4.4,"503 E Colorado St, Glendale",Glendale
Kahoots Pet Store,33.4797386,-117.1020965,4.7,"31845 Temecula Pkwy, Temecula",Temecula
Mr. Bulldog,33.997735999999996,-118.0770156,3.7,"9432 Whittier Blvd, Pico Rivera",Pico Rivera
Super Pets,33.789109499999995,-117.8345701,4.5,"1807 E Chapman Ave, Orange",Orange
Naked Dog Bistro,33.5450721,-117.78158470000001,4.3,"424 Forest Ave, Laguna Beach",Laguna Beach
Pet Supplies Plus,41.9060251,-87.982692,4.5,"198 North Ave, Villa Park",Villa Park
"Best Pets, Ltd.",42.4773034,-88.09562820000001,4.2,"939 Main St, Antioch",Antioch
Petbarn Orange,-33.2792906,149.10495500000002,4.3,"268 Peisley St, Orange",Orange
Seaside Tropical Fish,33.65513740000001,-117.98711259999999,4.5,"21162 Beach Blvd, Huntington Beach",Huntington Beach
Pottsee's Exotics,33.8749826,-118.1219858,4.6,"9929 Artesia Blvd, Bellflower",Bellflower
Kahoots Pet Store,32.993761600000006,-117.2576737,4.8,"677 San Rodolfo Dr, Solana Beach",Solana Beach
Kahoots Pet Store,33.0198249,-117.07281329999999,4.8,"11965 Bernardo Plaza Dr, San Diego",San Diego
Kahoots Pet Store,33.1438483,-117.094269,4.5,"322 W El Norte Pkwy, Escondido",Escondido
Muttropolis Solana Beach,32.989915,-117.27038290000002,4.4,"227 S Cedros Ave, Solana Beach",Solana Beach
Puppy House & Grooming,33.915328499999994,-118.0303271,4.0,"12801 Valley View Ave, La Mirada",La Mirada
ACUAMUNDO,13.981060699999999,-89.5644307,5.0,"10ª Avenida Sur entre 29 y 31 calle Poniente # 80, Santa Ana, 10a Avenida Sur 80, Santa Ana",Santa Ana
Happy Pets,13.979857,-89.56039,4.8,Santa Ana,Santa Ana
Villaggio Family Pets,33.5228266,-117.1508824,3.2,"41493 Margarita Rd G-103, Temecula",Temecula
Global Aquatics & Pet Supplies,34.0482547,-117.60691340000001,4.3,"1420 S Carlos Ave, Ontario",Ontario
Pets at Home,51.465516,-0.289794,4.0,"86 Manor Rd, Richmond",Richmond
Barstow Humane Society,34.8816274,-116.97802150000001,3.5,"2480 E Main St, Barstow",Barstow
Glendora Village Pet Shop,34.138178,-117.865747,4.1,"173 Glendora Ave, Glendora",Glendora
Wow Fish and Pet,34.508356,-117.34597600000001,3.9,"14560 Palmdale Rd, Victorville",Victorville
Fish Locker,34.255845799999996,-116.88355390000001,4.8,"42183 Big Bear Blvd, Big Bear Lake",Big Bear Lake
Home & Pet Care Services,34.4263886,-117.3008784,0.0,Hesperia,Hesperia
Tags Veterinary Clinic: Donahue John DVM,34.42266800000001,-118.53927900000001,4.9,"2635, 23007 Soledad Canyon Rd, Santa Clarita",Santa Clarita
Cameo's Pet Salon & Doggie Day,34.2751875,-119.26292649999999,4.8,"2494 E Main St, Ventura",Ventura
Petco Grooming,34.2834085,-118.7182294,0.0,"2643 Tapo Canyon Rd C, Simi Valley",Simi Valley
Birds & More,33.87528990000001,-118.35075810000001,4.8,"4301 Redondo Beach Blvd, Lawndale",Lawndale
Aquatic Fantasy,33.8507887,-118.38978370000001,4.4,"541 N Pacific Coast Hwy C, Redondo Beach",Redondo Beach
South Bay Aquarium,33.887103700000004,-118.31420870000001,4.4,"2021 W Redondo Beach Blvd A, Gardena",Gardena
PETNJOY - GARDENA,33.88991970000001,-118.30009790000001,4.2,"15515 Normandie Ave, Gardena",Gardena
Just Food For Dogs,34.0499073,-118.2477291,4.8,"333 S Spring St, Los Angeles",Los Angeles
Lotus Aquarium,33.898005,-118.35219099999999,4.8,"14704 Hawthorne Blvd, Lawndale",Lawndale
Pet Food Express,38.102565500000004,-122.5718554,4.4,"912 Diablo Ave, Novato",Novato
Bow Wow Meow,37.504792200000004,-122.25893290000002,4.5,"737 Laurel St, San Carlos",San Carlos
Woodlands Pet Food & Treats,37.8986466,-122.51468759999999,4.6,"701 Strawberry Village, Mill Valley",Mill Valley
Woodlands Pet Food & Treats,37.972189,-122.526299,4.6,"902 3rd St, San Rafael",San Rafael
Woodlands Pet Food & Treats,38.067478799999996,-122.54321770000001,5.0,"474 Ignacio Blvd, Novato",Novato
Pet Supplies Plus,37.6978111,-121.7414261,4.4,"4500 Arroyo Vista, Livermore",Livermore
Pet Supplies Plus,37.6985922,-121.87719479999998,5.0,"4230 Rosewood Dr suite b, Pleasanton",Pleasanton
Village Pets & Supplies,37.7905545,-122.417207,4.8,"1036 Hyde St, San Francisco",San Francisco
Pet Club South San Francisco,37.656100200000004,-122.4334347,4.3,"1 Chestnut Ave, South San Francisco",South San Francisco
Paws & Claws: A Natural Pet Food Store & Grooming Spa,37.8001765,-122.21723349999999,4.6,"3436 Dimond Ave, Oakland",Oakland
Louis Birds Pets & Supplies,37.32038,-121.87657800000001,3.9,"5803, 80 Keyes St, San Jose",San Jose
Pet Food Express,37.823384000000004,-122.20773700000001,4.6,"2220 Mountain Blvd, Oakland",Oakland
Bow Wow Meow SF,37.796649,-122.42163219999999,4.2,"2150 Polk St, San Francisco",San Francisco
Bow Wow Meow,37.4524665,-122.1842621,4.5,"654 Santa Cruz Ave, Menlo Park",Menlo Park
Pet Club Hayward,37.630028,-122.09743700000001,4.3,"27451 Hesperian Blvd, Hayward",Hayward
Pet Food Express,37.989149499999996,-122.309817,4.6,"1430 Fitzgerald Dr, Pinole",Pinole
Pet Food Express,37.82461370000001,-122.25460079999999,4.7,"3868 Piedmont Ave, Oakland",Oakland
Pet Food Express,37.850050200000005,-122.2601361,4.6,"6398 Telegraph Ave, Oakland",Oakland
Pet Food Express,37.834986900000004,-122.24928259999999,4.6,"5108 Broadway, Oakland",Oakland
Biscuits - Give A Dog A Bone,37.3494323,-121.8939106,4.6,"3202, 223 Jackson St, San Jose",San Jose
Pet Club Emeryville,37.828209,-122.28531000000001,4.4,"3535 Hollis St, Oakland",Oakland
PetSmart,37.7045885,-121.8537553,4.0,"2860 Dublin Blvd, Dublin",Dublin
PetSmart,37.9253633,-122.01667069999999,4.5,"2891 Ygnacio Valley Rd, Walnut Creek",Walnut Creek
Clip N Clean Pet Grooming & Supplies,37.970735299999994,-122.0126437,4.9,"3498 Clayton Rd, Concord",Concord
Cage Free Grooming Pet Stylist Heather Tuthill,37.8270561,-122.2522502,0.0,"4125 Piedmont Ave, Oakland",Oakland
Jeffrey's Natural Pet Foods North Beach,37.8017021,-122.4113631,4.8,"1841 Powell St, San Francisco",San Francisco
Pawtrero Bathhouse & Feed Co,37.78385,-122.3893422,4.9,"199 Brannan St, San Francisco",San Francisco
Pet Central,37.797585999999995,-122.41055700000001,3.5,"1411 Powell St, San Francisco",San Francisco
Pet Food Express,37.7692196,-122.42632009999998,4.6,"1975 Market St, San Francisco",San Francisco
Pet Club San Mateo,37.5546412,-122.2939595,4.3,"1850 S Norfolk St, San Mateo",San Mateo
Jeffrey's Natural Pet Foods Duboce Park,37.764564799999995,-122.4333369,4.4,"284 Noe St, San Francisco",San Francisco
Rivertown Feed & Pet Country Store,38.233616999999995,-122.635907,4.7,"200 1st St, Petaluma",Petaluma
PetSmart,38.2617295,-122.05839509999998,4.1,"1580 Gateway Blvd, Fairfield",Fairfield
Alameda See Spot Run,37.7639039,-122.239795,4.6,"2510 Santa Clara Ave, Alameda",Alameda
Pet Supplies Plus,38.115338,-121.270353,4.3,"1411 S Stockton St, Lodi",Lodi
Pets Plus,38.54826389999999,-121.3925649,0.0,"3317 Julliard Dr, Sacramento",Sacramento
Royalty Pet Store,37.9778744,-121.25993729999999,4.0,"2620 Waterloo Rd #3, Stockton",Stockton
Pet Supplies Plus,38.0204335,-121.3258479,4.4,"1140 W Hammer Ln, Stockton",Stockton
Pet Club | Elk Grove,38.425865,-121.38771399999999,4.4,"8515 Bond Rd, Elk Grove",Elk Grove
Pet Club | Rancho Cordova,38.61672670000001,-121.27077759999999,4.6,"2344 Sunrise Blvd, Rancho Cordova",Rancho Cordova
Incredible Pets,38.7462042,-121.2753182,4.6,"1105 Roseville Square, Roseville",Roseville
Carter's Pet Mart,37.9917021,-121.31657009999999,4.5,"909 W March Ln, Stockton",Stockton
Western Feed & Pet Supply Inc,38.6256916,-121.26444520000001,4.8,"2137 Golden Centre Ln, Rancho Cordova",Rancho Cordova
Solid Gold Dog Foods,37.999971,-120.320217,5.0,"14801 Lakeside Dr, Sonora",Sonora
PetSmart,38.74106099999999,-121.22845190000001,4.3,"8670 Sierra College Blvd, Roseville",Roseville
Animal Nutrition & Grooming Center,38.72998,-121.256422,4.4,"5533, 1805 Cirby Way # 10, Roseville",Roseville
Rocklin Family Pets & Wash,38.8145429,-121.25660090000001,0.0,"3211 Stanford Ranch Rd, Rocklin",Rocklin
Pet Food Express,38.24951679999999,-122.6222973,4.8,"383 S McDowell Blvd, Petaluma",Petaluma
Pet Food Express,38.007888,-122.547528,4.5,"280 Northgate Dr, San Rafael",San Rafael
Pet Food Express,37.9474971,-122.05985159999999,4.6,"2158 Contra Costa Blvd, Pleasant Hill",Pleasant Hill
Pet Club Fairfield,38.2130745,-122.1448345,4.5,"5125 Business Center Dr, Fairfield",Fairfield
Pet Club,38.4198589,-122.7150415,4.3,"1935 Santa Rosa Ave, Santa Rosa",Santa Rosa
Green Pawz,37.7677984,-122.4530547,4.3,"772 Stanyan St, San Francisco",San Francisco
Pawsarotti's,38.4553259,-122.67910829999998,4.9,"4040 Sonoma Hwy, Santa Rosa",Santa Rosa
Aquarium and Pets,40.166850200000006,-122.2286108,4.6,"345 S Main St, Red Bluff",Red Bluff
Happy Tails Barkery & Pet Supplies,40.567316999999996,-122.3704215,4.7,"202 Hartnell Ave, Redding",Redding
Redding Reptiles,40.620952,-122.400329,4.8,"991 Lake Blvd C, Redding",Redding
Aquariums Plus,40.5714925,-122.3402788,4.4,"1666 E Cypress Ave #16, Redding",Redding
Pet Buddies,40.681799,-122.27739140000001,0.0,"13540 Twin Lakes Ln, Redding",Redding
Mincer Apiaries,40.546615,-122.31033899999998,0.0,"20116 Freeman Way, Redding",Redding
The Deep,40.56466029999999,-122.3544673,4.5,"2956 Churn Creek Rd, Redding",Redding
McCloud's Pets,37.9747792,-120.3407253,3.7,"13769 Mono Way Suite A, Sonora",Sonora
Sonora Pet Waste Removal,38.017733,-120.26726799999999,5.0,"21833 Feather River Dr, Sonora",Sonora
DharmaDog,37.9837333,-120.3820443,0.0,"129 S Washington St, Sonora",Sonora
Foxy Roxy's Mobile Pet Salon,37.6584285,-120.9951784,0.0,Modesto,Modesto
Regalia Tibetan Terriers,38.349343100000006,-120.77074840000002,3.8,"105 Center St, Jackson",Jackson
Tropical Haven,37.6702616,-121.0326577,4.0,"1707 Prescott Rd, Modesto",Modesto
Pet Supplies Plus,37.9691573,-121.3153574,4.4,"1416 Country Club Blvd, Stockton",Stockton
Fin-N-Feather,40.781422799999994,-124.16343159999998,4.6,"2931 F St, Eureka",Eureka
Fortuna Pet Shoppe,40.5788147,-124.145909,5.0,"1095 S Fortuna Blvd C, Fortuna",Fortuna
B & B Doggy Daycare,40.787615,-124.132002,0.0,"3120 Trinity St, Eureka",Eureka
Veterinary Medical Center and Specialty Pet Supply,35.4728888,-120.66821570000002,4.7,"8165 Morro Rd, Atascadero",Atascadero
Atascadero Pet Hospital & Emergency Center,35.466511,-120.64863700000001,3.7,"9575 El Camino Real, Atascadero",Atascadero
The Animal Kingdom Pet Shop,34.9511241,-120.43351229999999,3.9,"146 Town Center E, Santa Maria",Santa Maria
Pet Boutique,35.2792606,-120.6637013,5.0,"745 Higuera St, San Luis Obispo",San Luis Obispo
That's FETCH!,34.8952641,-120.4377603,4.5,"3564 Skyway Dr Suite B, Santa Maria",Santa Maria
PetDoors.com,35.2484001,-120.6686624,5.0,"202 Tank Farm Road Suite F1, San Luis Obispo",San Luis Obispo
Tradewinds International,35.45714,-120.728458,0.0,"14310 San Miguel Rd, Atascadero",Atascadero
Mutt Hut,34.896432,-120.43568090000001,4.0,"3484 Orcutt Rd, Santa Maria",Santa Maria
Austin's Wet Pets and Lily Pad,35.120585600000005,-120.59840459999998,4.6,"1164 E Grand Ave, Arroyo Grande",Arroyo Grande
PetSmart,35.41088,-119.112541,4.3,"5601 Calloway Dr Suite 100, Bakersfield",Bakersfield
Canine Creek,35.12454520000001,-118.46725790000002,4.7,"798 Tucker Rd #5, Tehachapi",Tehachapi
Biscuit Boutique Doggy Spa Llc,35.375968900000004,-119.02056470000001,4.0,"1617 19th St, Bakersfield",Bakersfield
Self Serve Pet Spa,35.385774700000006,-119.10905079999999,4.9,"2816 Calloway Dr #103, Bakersfield",Bakersfield
Self Serve Pet Spa,35.3175411,-119.08444070000002,4.8,"7401 White Ln #2, Bakersfield",Bakersfield
Roundup,35.3829337,-119.06661740000001,4.4,"5805 Rosedale Hwy, Bakersfield",Bakersfield
Perez Pet Shop 5,35.3535186,-118.93264450000001,4.7,"6433 E Brundage Ln # 4, Bakersfield",Bakersfield
Cervantes the Feed Store,35.500539,-119.27865200000001,4.8,"135 N, 1920, Shafter Ave, Shafter",Shafter
Bakersfield Aquatic Pets,35.4240189,-119.02066709999998,4.7,"1920 N Chester Ave, Bakersfield",Bakersfield
Primp Your Pet,35.08781099999999,-118.628447,3.5,"27951 Rustler Ave, Tehachapi",Tehachapi
Sharon's Birds,35.4198878,-119.0265074,4.4,"1502 Haldon St, Bakersfield",Bakersfield
See De Nu Ones,35.320285399999996,-119.05883429999999,3.0,"3713 Pacino Ct, Bakersfield",Bakersfield
Marquez Pets,35.3401948,-119.00283629999998,3.6,"1332 S Union Ave, Bakersfield",Bakersfield
For the Birds & More,35.4125723,-119.05064509999998,4.5,"1450 Olive Dr, Bakersfield",Bakersfield
POWER HOUSE BORDER COLLIES,34.797578,-118.456732,2.3,"18333 W Ave B-8, Lancaster",Lancaster
NV Pet & NV Sales,35.31505,-119.085852,5.0,"4308 Resnik Ct, Bakersfield",Bakersfield
Country Oaks Mini Aussies,35.120267600000005,-118.4314247,0.0,"905 Aleah Lane, Tehachapi",Tehachapi
Going Mutts Pet Grooming,35.3174968,-119.07340549999999,4.5,"6401 White Ln, Bakersfield",Bakersfield
Camp K-9 & Friends,35.389965999999994,-119.045505,4.9,"3430 Gilmore Avenue Located in back, pull into the gates next to red poles at 3500, Gilmore Ave, Bakersfield",Bakersfield
Santa Cruz Animal Health,35.660992,-120.62931100000002,4.3,"3600 Dry Creek Rd, Paso Robles",Paso Robles
The Pet Department,35.6208437,-120.6902183,4.1,"705 6th St, Paso Robles",Paso Robles
Chateau Bow Wow,35.5986862,-120.65712169999999,0.0,"242 Silver Oak Dr, Paso Robles",Paso Robles
Clawz N Pawz Pet Sitting,35.666734000000005,-120.508527,0.0,"430 Whitley Gardens Dr, Paso Robles",Paso Robles
Cat Nip & House Sit,35.575933899999995,-120.702009,1.0,"64 Via San Carlos, Paso Robles",Paso Robles
Pet Supplies Plus,37.518625,-120.879719,4.3,"2840 Countryside Dr, Turlock",Turlock
Pet Avenue,37.5154165,-120.85041640000001,3.3,"2445 Geer Rd, Turlock",Turlock
Mrs & Mr Garret Pet Shop,37.3021632,-120.48296770000002,0.0,Merced,Merced
Armstrong's Pet World,37.3369876,-120.5755098,4.6,"4910 Clover Ave, Atwater",Atwater
Armstrong's Pet World,37.3129666,-120.47046809999999,4.5,"2941 G St, Merced",Merced
"P.S. M'Lynn, A Pet Salon",37.302252200000005,-120.48302949999999,4.9,"1745 Canal St, Merced",Merced
Debbie's Pet Grooming,37.7396884,-121.1279662,3.9,"433 W Main St, Ripon",Ripon
4 Paws Pet Sitting Services,37.589457,-120.981715,0.0,"3096 Cedar Springs Ct, Ceres",Ceres
California Favorite's,37.60725,-121.082375,4.0,"8252, 4830 Paradise Rd, Modesto",Modesto
Bark'n Biscuit Salon,37.3156203,-120.4704277,4.4,"41 W Alexander Ave, Merced",Merced
Critter Creek Veterinary Hospital,38.8853541,-121.2917149,4.5,"140 Gateway Dr, Lincoln",Lincoln
Pet Supplies Plus,38.537879700000005,-121.4919715,4.5,"2018 Sutterville Rd #112, Sacramento",Sacramento
PetSmart,38.93868,-121.097798,4.3,"11805 Willow Creek Dr, Auburn",Auburn
Incredible Pets,38.5602375,-121.4443715,4.6,"5030 Folsom Blvd, Sacramento",Sacramento
Incredible Pets,39.232803600000004,-121.0352645,4.5,"649 Sutton Way, Grass Valley",Grass Valley
Incredible Pets,38.5076557,-121.5420945,4.7,"392 Florin Rd, Sacramento",Sacramento
The Canine Coach,39.278682200000006,-120.9541361,0.0,"20065 Scotts Flat Rd, Nevada City",Nevada City
Vip Pets,39.139777,-121.58936499999999,4.2,"420 D St, Marysville",Marysville
Dogwidgets Dog Crate Kennel Cage,38.62915770000001,-121.52706459999999,0.0,"2971 Muttonbird Way, Sacramento",Sacramento
WAGGER'S,38.647315899999995,-121.5096867,4.5,"2311, 2051 Arena Blvd # 130, Sacramento",Sacramento
Posh Puppy Boutique,38.795286600000004,-121.26726629999999,4.2,"4414, 6040 Stanford Ranch Rd #100, Rocklin",Rocklin
"TOP DOG *Barkery, *Bath & *Boutique",33.655813,-117.9988922,3.9,"21010 Pacific Coast Hwy, Ste A-160, Huntington Beach",Huntington Beach
Country Critters Pet Care,36.28426700000001,-119.70141699999999,3.0,"13620 Iona Ave, Hanford",Hanford
ROBINHOODS,35.657457,-120.66289099999999,0.0,"1720 Circle B Rd, Paso Robles",Paso Robles
Premier Ag Inc,35.6257105,-120.6857136,4.6,"1041 Paso Robles St, Paso Robles",Paso Robles
Delano Pets & Supplies,35.7687765,-119.24610729999999,0.0,"822 10th Ave, Delano",Delano
Shaw's Western Shop,35.1574143,-119.45658590000002,4.5,"419 Harrison St, Taft",Taft
Central Valley Labradoodles,35.529567799999995,-119.2774669,0.0,"17096 Shafter Ave, Shafter",Shafter
VCA Rancho Mirage Animal Hospital,33.8014742,-116.3896453,0.0,"72877 Dinah Shore Dr, Rancho Mirage",Rancho Mirage
PetSmart,34.0602297,-117.1886754,4.4,"500 W Stuart Ave unit c-1, Redlands",Redlands
Pet Empire & Supplies,34.12217100000001,-117.17288500000001,5.0,"7223 Church St Suite A3, Highland",Highland
Rachael's PET DEPOT,33.5133547,-117.10334809999999,5.0,"31795 Rancho California Rd Suite B400, Temecula",Temecula
Doggie's Day Out of Palm Springs,33.8114004,-116.49686559999999,4.0,"752 Vella Rd, Palm Springs",Palm Springs
Hello Puppies,33.5247403,-117.1614318,4.0,"41125 Winchester Rd B6, Temecula",Temecula
Creative Dog Grooming,33.7218352,-116.38661709999998,5.0,"73280 CA-111 #103, Palm Desert",Palm Desert
Uptown Pets,34.0336814,-117.04018300000001,4.5,"35039 Yucaipa Blvd, Yucaipa",Yucaipa
Ritzi Rover Pet Grooming,33.7201505,-116.38664070000002,4.3,"73260 El Paseo # 2E, Palm Desert",Palm Desert
Daryl's Pet Shop,34.056295299999995,-117.18000149999999,4.4,"208 E State St, Redlands",Redlands
EarthWise Pet Supply,33.756699499999996,-116.39241899999999,5.0,"40101 Monterey Ave, Suite G7, Rancho Mirage",Rancho Mirage
Aquarium Odyssey,33.7215847,-116.3747781,4.7,"73950 CA-111, Palm Desert",Palm Desert
Seven Seas Fish And Corals,34.5186566,-117.3096675,4.1,"14761 7th St e, Victorville",Victorville
Kritters Pet Store,33.7468601,-116.95637250000001,4.6,"1515 E Florida Ave, Hemet",Hemet
Thinschmidt's German Shepherds,33.7740049,-117.46507240000001,4.8,"11111 Spanish Hills Dr, Corona",Corona
Andy's Pet Shop,37.335382,-121.89581100000001,4.6,"51 Notre Dame Ave, San Jose",San Jose
Pet Food Express,37.7302121,-122.47568909999998,4.5,"3160 20th Ave, San Francisco",San Francisco
Mike's Feed & Pet,37.729834100000005,-122.1594906,4.6,"710 E 14th St, San Leandro",San Leandro
Pet's Delight,37.37888710000001,-122.11819399999999,4.9,"390 State St, Los Altos",Los Altos
